strategy,model,fit_rows,selected_feature_count,cv_macro_f1_mean,cv_macro_f1_std,spatial_cv_macro_f1_mean,spatial_cv_macro_f1_std,train_time_sec,test_time_sec,accuracy,kappa,f1_macro,weighted_f1,calibration_macro_f1,calibration_notes,context_enabled,component_cleanup_enabled,test_las,confusion_matrix_png,top_view_png,side_view_png
KitchenSinkGroundSpatialCleanup,HierarchicalExtraTreesTunedContextKNN,148092,64,0.954975077021042,0.0027568312610424285,0.8904127506313905,0.021383949073996766,390.3462484000047,2.800854300003266,0.9285677869609303,0.8690333105754539,0.7855576311263639,0.9298434225606385,0.9439691672770654,"{'k': 16, 'alpha': 0.2, 'spatial_columns': ('x', 'y', 'z'), 'spatial_scales': (1.0, 1.0, 2.0), 'distance_weights': True}",True,False,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_HierarchicalExtraTreesTunedContextKNN.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_HierarchicalExtraTreesTunedContextKNN_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_HierarchicalExtraTreesTunedContextKNN_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_HierarchicalExtraTreesTunedContextKNN_side.png
KitchenSinkGroundSpatialCleanup,ExtraTreesRegularizedContextKNN,148092,64,0.956987965555094,0.0028660489736427293,0.8884134488637145,0.02338699109990887,18.896894699995755,1.8812944999954198,0.9188527793985193,0.8517723594242889,0.7731708095918042,0.9208823991648353,0.9576620554179515,"{'k': 32, 'alpha': 0.2, 'spatial_columns': ('x', 'y', 'z'), 'spatial_scales': (1.0, 1.0, 2.0), 'distance_weights': True}",True,False,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_ExtraTreesRegularizedContextKNN.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesRegularizedContextKNN_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesRegularizedContextKNN_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesRegularizedContextKNN_side.png
KitchenSinkGroundSpatialCleanup,ExtraTreesSoftVoteTunedContextKNN,148092,64,0.9606483455287731,0.002824343952395319,0.8966699568818827,0.024108497338562622,241.58515450000414,4.53645780000079,0.91560689057446,0.8463748737981452,0.7705783420814504,0.9182100572808596,0.9639773344183749,"{'k': 8, 'alpha': 0.2, 'spatial_columns': ('x', 'y', 'z'), 'spatial_scales': (1.0, 1.0, 2.0), 'distance_weights': True}",True,False,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_ExtraTreesSoftVoteTunedContextKNN.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesSoftVoteTunedContextKNN_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesSoftVoteTunedContextKNN_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesSoftVoteTunedContextKNN_side.png
KitchenSinkGroundSpatialCleanup,ExtraTreesSoftVoteTuned,148092,64,0.9606483455287731,0.002824343952395319,0.8966699568818827,0.024108497338562622,241.58515450000414,4.410109800010105,0.9142473559884666,0.8440667686810156,0.770436026148105,0.9169911596632928,0.9642814655389065,"(1.05, 0.95, 1.0, 1.2)",False,False,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_ExtraTreesSoftVoteTuned.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesSoftVoteTuned_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesSoftVoteTuned_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesSoftVoteTuned_side.png
KitchenSinkGroundSpatialCleanup,ExtraTreesRegularized,148092,64,0.956987965555094,0.0028660489736427293,0.8884134488637145,0.02338699109990887,18.896894699995755,1.4938008000026457,0.9165925531493052,0.8479122380886552,0.7697652941745273,0.9188520831881005,,,False,False,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_ExtraTreesRegularized.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesRegularized_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesRegularized_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesRegularized_side.png
KitchenSinkGroundSpatialCleanup,ExtraTreesConservativeContextKNN,148092,64,0.9537308450911964,0.0020366321089072,0.8973385477577919,0.021557123816682282,33.29545259999577,1.768863399993279,0.9156522083939931,0.8466682657781558,0.7645644460475983,0.9182121325542147,0.9563943892003176,"{'k': 8, 'alpha': 0.35, 'spatial_columns': ('x', 'y', 'z'), 'spatial_scales': (1.0, 1.0, 2.0), 'distance_weights': True}",True,False,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_ExtraTreesConservativeContextKNN.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesConservativeContextKNN_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesConservativeContextKNN_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesConservativeContextKNN_side.png
KitchenSinkGroundSpatialCleanup,ExtraTreesConservative,148092,64,0.9537308450911964,0.0020366321089072,0.8973385477577919,0.021557123816682282,33.29545259999577,1.6445564000023296,0.9118908293727447,0.8402089672985223,0.7589825980196044,0.91482166589987,,,False,False,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_ExtraTreesConservative.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesConservative_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesConservative_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesConservative_side.png
KitchenSinkGroundSpatialCleanup,ExtraTreesContextKNN,148092,64,0.962860127008319,0.002996300459060985,0.8799846028761923,0.01760679723374697,8.889676599996164,1.4954829000052996,0.9179804113725069,0.8499137182622192,0.758193942698106,0.9192043617217458,0.9604862272008109,"{'k': 8, 'alpha': 0.2, 'spatial_columns': ('x', 'y', 'z'), 'spatial_scales': (1.0, 1.0, 2.0), 'distance_weights': True}",True,False,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_ExtraTreesContextKNN.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesContextKNN_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesContextKNN_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesContextKNN_side.png
KitchenSinkGroundSpatialCleanup,ExtraTrees,148092,64,0.962860127008319,0.002996300459060985,0.8799846028761923,0.01760679723374697,8.889676599996164,1.232653399987612,0.9161110513167658,0.8466443504515471,0.7560470509861786,0.9174630115417199,,,False,False,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_ExtraTrees.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTrees_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTrees_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTrees_side.png
KitchenSinkGroundSpatialCleanup,HierarchicalExtraTreesTunedContextKNNComponentClean,148092,64,0.954975077021042,0.0027568312610424285,0.8904127506313905,0.021383949073996766,390.3462484000047,2.800854300003266,0.9029009069228634,0.8243845929776099,0.7484258093009253,0.9056490547016186,0.9439691672770654,"{'k': 16, 'alpha': 0.2, 'spatial_columns': ('x', 'y', 'z'), 'spatial_scales': (1.0, 1.0, 2.0), 'distance_weights': True}",True,True,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_HierarchicalExtraTreesTunedContextKNNComponentClean.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_HierarchicalExtraTreesTunedContextKNNComponentClean_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_HierarchicalExtraTreesTunedContextKNNComponentClean_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_HierarchicalExtraTreesTunedContextKNNComponentClean_side.png
